prom_address_hex,A7_WREQ_N,A6_A10,A5_XACK_N,A4_A14,A3_VIDEO_CYCLE,A2_A9,A1_A15,A0_A12,D0,status
0x00,0,0,0,0,0,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0x01,0,0,0,0,0,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0x02,0,0,0,0,0,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0x03,0,0,0,0,0,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0x04,0,0,0,0,0,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0x05,0,0,0,0,0,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0x06,0,0,0,0,0,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0x07,0,0,0,0,0,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0x08,0,0,0,0,1,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0x09,0,0,0,0,1,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0x0A,0,0,0,0,1,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0x0B,0,0,0,0,1,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0x0C,0,0,0,0,1,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0x0D,0,0,0,0,1,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0x0E,0,0,0,0,1,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0x0F,0,0,0,0,1,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0x10,0,0,0,1,0,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0x11,0,0,0,1,0,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0x12,0,0,0,1,0,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0x13,0,0,0,1,0,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0x14,0,0,0,1,0,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0x15,0,0,0,1,0,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0x16,0,0,0,1,0,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0x17,0,0,0,1,0,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0x18,0,0,0,1,1,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0x19,0,0,0,1,1,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0x1A,0,0,0,1,1,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0x1B,0,0,0,1,1,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0x1C,0,0,0,1,1,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0x1D,0,0,0,1,1,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0x1E,0,0,0,1,1,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0x1F,0,0,0,1,1,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0x20,0,0,1,0,0,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0x21,0,0,1,0,0,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0x22,0,0,1,0,0,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0x23,0,0,1,0,0,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0x24,0,0,1,0,0,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0x25,0,0,1,0,0,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0x26,0,0,1,0,0,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0x27,0,0,1,0,0,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0x28,0,0,1,0,1,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0x29,0,0,1,0,1,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0x2A,0,0,1,0,1,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0x2B,0,0,1,0,1,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0x2C,0,0,1,0,1,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0x2D,0,0,1,0,1,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0x2E,0,0,1,0,1,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0x2F,0,0,1,0,1,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0x30,0,0,1,1,0,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0x31,0,0,1,1,0,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0x32,0,0,1,1,0,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0x33,0,0,1,1,0,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0x34,0,0,1,1,0,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0x35,0,0,1,1,0,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0x36,0,0,1,1,0,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0x37,0,0,1,1,0,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0x38,0,0,1,1,1,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0x39,0,0,1,1,1,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0x3A,0,0,1,1,1,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0x3B,0,0,1,1,1,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0x3C,0,0,1,1,1,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0x3D,0,0,1,1,1,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0x3E,0,0,1,1,1,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0x3F,0,0,1,1,1,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0x40,0,1,0,0,0,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0x41,0,1,0,0,0,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0x42,0,1,0,0,0,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0x43,0,1,0,0,0,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0x44,0,1,0,0,0,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0x45,0,1,0,0,0,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0x46,0,1,0,0,0,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0x47,0,1,0,0,0,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0x48,0,1,0,0,1,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0x49,0,1,0,0,1,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0x4A,0,1,0,0,1,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0x4B,0,1,0,0,1,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0x4C,0,1,0,0,1,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0x4D,0,1,0,0,1,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0x4E,0,1,0,0,1,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0x4F,0,1,0,0,1,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0x50,0,1,0,1,0,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0x51,0,1,0,1,0,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0x52,0,1,0,1,0,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0x53,0,1,0,1,0,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0x54,0,1,0,1,0,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0x55,0,1,0,1,0,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0x56,0,1,0,1,0,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0x57,0,1,0,1,0,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0x58,0,1,0,1,1,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0x59,0,1,0,1,1,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0x5A,0,1,0,1,1,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0x5B,0,1,0,1,1,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0x5C,0,1,0,1,1,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0x5D,0,1,0,1,1,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0x5E,0,1,0,1,1,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0x5F,0,1,0,1,1,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0x60,0,1,1,0,0,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0x61,0,1,1,0,0,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0x62,0,1,1,0,0,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0x63,0,1,1,0,0,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0x64,0,1,1,0,0,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0x65,0,1,1,0,0,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0x66,0,1,1,0,0,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0x67,0,1,1,0,0,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0x68,0,1,1,0,1,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0x69,0,1,1,0,1,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0x6A,0,1,1,0,1,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0x6B,0,1,1,0,1,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0x6C,0,1,1,0,1,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0x6D,0,1,1,0,1,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0x6E,0,1,1,0,1,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0x6F,0,1,1,0,1,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0x70,0,1,1,1,0,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0x71,0,1,1,1,0,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0x72,0,1,1,1,0,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0x73,0,1,1,1,0,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0x74,0,1,1,1,0,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0x75,0,1,1,1,0,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0x76,0,1,1,1,0,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0x77,0,1,1,1,0,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0x78,0,1,1,1,1,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0x79,0,1,1,1,1,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0x7A,0,1,1,1,1,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0x7B,0,1,1,1,1,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0x7C,0,1,1,1,1,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0x7D,0,1,1,1,1,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0x7E,0,1,1,1,1,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0x7F,0,1,1,1,1,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0x80,1,0,0,0,0,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0x81,1,0,0,0,0,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0x82,1,0,0,0,0,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0x83,1,0,0,0,0,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0x84,1,0,0,0,0,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0x85,1,0,0,0,0,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0x86,1,0,0,0,0,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0x87,1,0,0,0,0,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0x88,1,0,0,0,1,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0x89,1,0,0,0,1,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0x8A,1,0,0,0,1,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0x8B,1,0,0,0,1,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0x8C,1,0,0,0,1,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0x8D,1,0,0,0,1,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0x8E,1,0,0,0,1,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0x8F,1,0,0,0,1,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0x90,1,0,0,1,0,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0x91,1,0,0,1,0,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0x92,1,0,0,1,0,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0x93,1,0,0,1,0,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0x94,1,0,0,1,0,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0x95,1,0,0,1,0,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0x96,1,0,0,1,0,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0x97,1,0,0,1,0,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0x98,1,0,0,1,1,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0x99,1,0,0,1,1,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0x9A,1,0,0,1,1,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0x9B,1,0,0,1,1,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0x9C,1,0,0,1,1,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0x9D,1,0,0,1,1,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0x9E,1,0,0,1,1,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0x9F,1,0,0,1,1,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0xA0,1,0,1,0,0,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0xA1,1,0,1,0,0,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0xA2,1,0,1,0,0,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0xA3,1,0,1,0,0,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0xA4,1,0,1,0,0,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0xA5,1,0,1,0,0,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0xA6,1,0,1,0,0,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0xA7,1,0,1,0,0,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0xA8,1,0,1,0,1,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0xA9,1,0,1,0,1,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0xAA,1,0,1,0,1,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0xAB,1,0,1,0,1,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0xAC,1,0,1,0,1,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0xAD,1,0,1,0,1,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0xAE,1,0,1,0,1,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0xAF,1,0,1,0,1,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0xB0,1,0,1,1,0,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0xB1,1,0,1,1,0,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0xB2,1,0,1,1,0,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0xB3,1,0,1,1,0,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0xB4,1,0,1,1,0,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0xB5,1,0,1,1,0,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0xB6,1,0,1,1,0,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0xB7,1,0,1,1,0,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0xB8,1,0,1,1,1,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0xB9,1,0,1,1,1,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0xBA,1,0,1,1,1,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0xBB,1,0,1,1,1,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0xBC,1,0,1,1,1,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0xBD,1,0,1,1,1,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0xBE,1,0,1,1,1,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0xBF,1,0,1,1,1,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0xC0,1,1,0,0,0,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0xC1,1,1,0,0,0,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0xC2,1,1,0,0,0,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0xC3,1,1,0,0,0,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0xC4,1,1,0,0,0,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0xC5,1,1,0,0,0,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0xC6,1,1,0,0,0,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0xC7,1,1,0,0,0,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0xC8,1,1,0,0,1,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0xC9,1,1,0,0,1,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0xCA,1,1,0,0,1,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0xCB,1,1,0,0,1,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0xCC,1,1,0,0,1,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0xCD,1,1,0,0,1,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0xCE,1,1,0,0,1,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0xCF,1,1,0,0,1,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0xD0,1,1,0,1,0,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0xD1,1,1,0,1,0,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0xD2,1,1,0,1,0,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0xD3,1,1,0,1,0,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0xD4,1,1,0,1,0,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0xD5,1,1,0,1,0,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0xD6,1,1,0,1,0,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0xD7,1,1,0,1,0,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0xD8,1,1,0,1,1,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0xD9,1,1,0,1,1,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0xDA,1,1,0,1,1,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0xDB,1,1,0,1,1,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0xDC,1,1,0,1,1,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0xDD,1,1,0,1,1,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0xDE,1,1,0,1,1,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0xDF,1,1,0,1,1,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0xE0,1,1,1,0,0,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0xE1,1,1,1,0,0,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0xE2,1,1,1,0,0,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0xE3,1,1,1,0,0,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0xE4,1,1,1,0,0,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0xE5,1,1,1,0,0,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0xE6,1,1,1,0,0,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0xE7,1,1,1,0,0,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0xE8,1,1,1,0,1,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0xE9,1,1,1,0,1,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0xEA,1,1,1,0,1,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0xEB,1,1,1,0,1,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0xEC,1,1,1,0,1,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0xED,1,1,1,0,1,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0xEE,1,1,1,0,1,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0xEF,1,1,1,0,1,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0xF0,1,1,1,1,0,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0xF1,1,1,1,1,0,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0xF2,1,1,1,1,0,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0xF3,1,1,1,1,0,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0xF4,1,1,1,1,0,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0xF5,1,1,1,1,0,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0xF6,1,1,1,1,0,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0xF7,1,1,1,1,0,1,1,1,?,input vector proved; output truth requires .037 dump or capture
0xF8,1,1,1,1,1,0,0,0,?,input vector proved; output truth requires .037 dump or capture
0xF9,1,1,1,1,1,0,0,1,?,input vector proved; output truth requires .037 dump or capture
0xFA,1,1,1,1,1,0,1,0,?,input vector proved; output truth requires .037 dump or capture
0xFB,1,1,1,1,1,0,1,1,?,input vector proved; output truth requires .037 dump or capture
0xFC,1,1,1,1,1,1,0,0,?,input vector proved; output truth requires .037 dump or capture
0xFD,1,1,1,1,1,1,0,1,?,input vector proved; output truth requires .037 dump or capture
0xFE,1,1,1,1,1,1,1,0,?,input vector proved; output truth requires .037 dump or capture
0xFF,1,1,1,1,1,1,1,1,?,input vector proved; output truth requires .037 dump or capture
