index,section,a_label,r_label,input_bits,output_bits,ambiguous_output_columns
0,1,A62,R111,0011011111111001110,1011101111101110101,
1,1,A61,R110,0011111100000011111,1111111111111111111,
2,1,A60,R109,0010101111000010111,0101011111111101010,
3,1,A59,R108,0111011111000011011,1001101111111111111,
4,1,A58,R107,1011101111010010101,1001000110111111111,
5,1,A57,R106,1001000110110010000,1101010111111111111,
6,1,A56,R105,1000010100110010010,0101010101011101010,
7,1,A55,R104,1111001111110000000,0111111111111111111,
8,1,A54,R104,1111001111110000000,0111111111111111111,
9,1,A53,R103,1011101110110011111,1111000000101111111,
10,1,A52,R102,0011011101110111010,1111111111111111111,
11,1,A51,R101,1001010111111111110,0001001101001111001,
12,1,A50,R100,1110111111111111011,0111100011011111111,
13,1,A49,R099,0011111111001111111,1111111111111111111,
14,1,A48,R098,1011101111001101100,1010010101110110101,
15,1,A47,R097,1001010111001111000,1011010101110111111,
16,1,A46,R096,1111101111001110101,0011101110111111111,
17,1,A45,R095,1111000011001100001,1100110110110111111,
18,1,A44,R094,0101110111001100110,0101110110100011101,
19,1,A43,R093,0111110111001100110,0101110110100011101,
20,1,A42,R092,0011011111001110011,0101110011100111111,
21,1,A36,R091,1111101011101111100,1011101101100110111,
22,1,A35,R090,0001111111001100110,0001100111100011101,
23,1,A34,R089,0011011111001110011,0000100111100111111,
24,1,A33,R088,0011011111001111001,1111111110111111111,
25,1,A32,R087,0011011111001101100,1010111011101011101,
26,1,A30,R086,1011000111110000110,0001001111101100001,
27,1,A29,R085,1111111100110011111,1111111111111111111,
28,1,A28,R085,1111111100110011111,1111111111111111111,
29,1,A27,R084,1111111110110011111,1111101010101111111,
30,1,A26,R083,1011101110110011111,1111010101111111111,
31,1,A25,R082,0001100101110111000,1111111111111111111,
32,1,A24,R081,1000111011111101000,0111111111111111111,
33,1,A23,R080,1011100011111101110,0010010011100100101,
34,1,A22,R079,0111011111111111011,1111111111111111111,
35,1,A21,R078,1111111111111111111,1111111111111111111,
36,1,A20,R077,1011111111111110111,0101110111110101111,
37,1,A19,R076,0110111111111111011,0011001101011101110,
38,1,A18,R075,1001111111111111100,1111110000111111111,
39,1,A17,R074,1111111111101110111,0111110111011111111,
40,1,A16,R073,0011111111001111001,1111111111111111111,
41,1,A15,R072,0111111101011111011,1111111111111111111,
42,1,A14,R071,1111111111111111111,1111111111111111111,
43,1,A13,R070,0101010111001100110,0011101101101011111,
44,1,A12,R069,0101010011001101110,1101110000111011111,
45,1,A11,R068,0111111111001110011,0111111101111111111,
46,1,A10,R067,1011100111001110101,1000110010100111111,
47,1,A41,R066,0011001011011110011,0101110110110111011,
48,1,A09,R066,0011001011011110011,0101110110110111011,
49,1,A40,R065,0100001111101110010,0101110111110101111,
50,1,A08,R065,0100001111101110010,0101110111110101111,
51,1,A39,R064,1111110011001111111,0000110010100101010,
52,1,A07,R064,1111110011001111111,0000110010100101010,
53,1,A38,R063,0010101011001110101,1001101001001111111,
54,1,A06,R063,0010101011001110101,1001101001001111111,
55,1,A37,R062,1111011111001100110,0111111010010011111,
56,1,A05,R062,1111011111001100110,0111111010010011111,
57,1,A04,R061,0011111111001101100,1011101101100111111,
58,1,A03,R060,0011111111001101100,1011101111001111111,
59,1,A02,R059,0011101111001101100,1001000111100111111,
60,1,A01,R058,0011111011011110010,0101110111110111110,
61,1,A00,R057,1111010011001110011,0101011100110111110,
62,2,A61,R056,0110111111111111110,0011100111001110111,
63,2,A60,R055,0111001111001111001,0110101011101111111,
64,2,A59,R054,1001101011001101001,1011101111101111111,
65,2,A58,R053,1101111111001111110,0001001101100000000,
66,2,A57,R052,1001101011101111100,1011100101100111111,
67,2,A56,R051,1101111111001101011,1110101011101111111,
68,2,A53,R050,0001011110000011110,1001100111101110101,
69,2,A52,R049,0110111101010111111,0101110111110111111,
70,2,A51,R048,0010000110010110001,1101100111111111111,
71,2,A50,R047,0011000011111111011,0111010111110101111,
72,2,A49,R046,0011111111111111111,1111111111111111111,
73,2,A48,R045,0011111111111111111,1101110111111111111,
74,2,A47,R044,1110100101111111100,1111111111111111101,
75,2,A46,R043,1101011011111111010,0101010101011111110,
76,2,A45,R042,1101001111111111001,0111111111111111111,
77,2,A44,R041,1111111111111111111,1111111111111111111,
78,2,A43,R040,1011101111111101100,1011101111101111101,
79,2,A42,R039,1111010111111110010,0101011101110111110,
80,2,A41,R038,0010011011111111001,0111111111111111111,
81,2,A40,R037,1110101111111100100,0011101111101111111,
82,2,A39,R036,0001111011111111101,0011101011111111111,
83,2,A38,R035,1011111011111111111,0101110111110111110,
84,2,A37,R034,0111001110111111110,0110111010111000111,
85,2,A36,R033,1000111011111111110,0001101000011111110,
86,2,A35,R032,1001011111111111001,0111111111111111111,
87,2,A34,R031,1110110011111111110,0010000000011101100,
88,2,A33,R030,1001011111111111001,0101111101110111111,
89,2,A32,R029,1001011111111111001,0111111111111111111,
90,2,A30,R028,1111101011111111111,0101110111110101111,
91,2,A29,R027,1111111111111100110,0010011101001111111,
92,2,A28,R026,0001110001111111110,0100110011110110110,
93,2,A27,R025,0011110011111101111,1101011001010111111,
94,2,A26,R024,1100011100111100001,1011000101110111111,
95,2,A25,R023,0011101111111110111,1101110010100111111,
96,2,A24,R022,0001111011111101011,0000110010110111110,
97,2,A23,R021,0010101010111110101,1011111010101111111,
98,2,A22,R020,1010101111111111110,1001001000000111101,
99,2,A21,R019,0011100011111110010,1101011101011111111,
100,2,A20,R018,0110111010111110110,1100111000111010111,
101,2,A19,R017,1101110001111100111,1010011001011111111,
102,2,A18,R016,0011100110111110110,1011011010011110111,
103,2,A17,R015,1100110001111111110,9911191199991111111,"0,1,5,8,9,10,11"
104,2,A16,R014,1100111100111111110,0101001011011111111,
105,2,A14,R013,1100111100111111110,0000101010001111111,
106,2,A13,R012,1110101111111111110,0000011101001100000,
107,2,A12,R011,1110111011111101110,0100111000011101011,
108,2,A11,R010,1110101111111100100,0111111010111111111,
109,2,A10,R009,1000001011111111001,0010101110101111111,
110,2,A09,R008,0111011111111111100,0001100010010011111,
111,2,A08,R008,0111011111111111100,0001100010010011111,
112,2,A07,R007,1101101101111111110,0111111101011011011,
113,2,A06,R006,1110000010111111011,0111111111111111111,
114,2,A05,R005,0110000111111110100,0111100010010111111,
115,2,A04,R004,1100101000111111110,0111111111111110111,
116,2,A03,R003,0111110000111100111,1000000110011111111,
117,2,A02,R002,1111111101111111111,1010011110000111111,
118,2,A01,R001,1110111011111110101,0101000100101111111,
119,2,A00,R000,1001101100111110110,1110111110111111111,
